accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
KF993678	KF993678.1	KF993678	2013-02-19	Southeast Asia	Thailand	Thailand	Thailand	10141	Homo sapiens	2014-10-09	2014-11-06		Fonseca et al.	Provincial Laboratory For Public Health, Molecular Diagnostics	https://www.ncbi.nlm.nih.gov/nuccore/KF993678
KJ461621	KJ461621.1	KJ461621	2013-XX-XX	Europe	Norway			201	Homo sapiens	2014-05-11	2014-09-11		Waehre et al.	Bernhard Nocht Institute for Tropical Medicine, WHO Collaborating Centre for Arbovirus and Haemorrhagic Fever Reference and Rese, Division of Arbovirology	https://www.ncbi.nlm.nih.gov/nuccore/KJ461621
KJ579441	KJ579441.1	KJ579441	2013-10-22	Oceania	French Polynesia			281	Homo sapiens	2014-05-26	2014-05-29		Cao-Lormeau et al.	Institut Louis Malarde	https://www.ncbi.nlm.nih.gov/nuccore/KJ579441
KJ579442	KJ579442.1	KJ579442	2013-10-25	Oceania	French Polynesia	Marquesas Islands		281	Homo sapiens	2014-05-26	2014-05-29		Cao-Lormeau et al.	Institut Louis Malarde	https://www.ncbi.nlm.nih.gov/nuccore/KJ579442
KJ634273	KJ634273.1	KJ634273	2014-XX-XX	Oceania	Cook Islands			1512	Homo sapiens	2014-06-11	2014-06-11		Pyke et al.	Queensland Health Forensic and Scientific Services, Public Health Virology	https://www.ncbi.nlm.nih.gov/nuccore/KJ634273
KJ680134	KJ680134.1	KJ680134	2013-12-09	Oceania	French Polynesia			281	Homo sapiens	2014-04-22	2014-04-22		Musso et al.	Institut Louis Malarde, PMIE	https://www.ncbi.nlm.nih.gov/nuccore/KJ680134
KJ680135	KJ680135.1	KJ680135	2014-01-03	Oceania	French Polynesia			281	Homo sapiens	2014-04-22	2014-04-22		Musso et al.	Institut Louis Malarde, PMIE	https://www.ncbi.nlm.nih.gov/nuccore/KJ680135
KJ776791	KJ776791.2	KJ776791	2013-11-28	Oceania	French Polynesia			10807	Homo sapiens	2014-05-12	2016-08-31		Baronti et al.	IRD, UMR190-Unite des Virus Emergents	https://www.ncbi.nlm.nih.gov/nuccore/KJ776791
KJ873160	KJ873160.1	KJ873160	2014-04-03	Europe	France	New Caledonia		893	Homo sapiens	2014-12-27	2014-12-27		Gourinat et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KJ873160
KJ873161	KJ873161.1	KJ873161	2014-04-02	Europe	France	New Caledonia		792	Homo sapiens	2014-12-27	2014-12-27		Gourinat et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KJ873161
KM014700	KM014700.1	KM014700	2014-01-28	Oceania	French Polynesia			281	Homo sapiens	2014-12-23	2015-02-06		Musso et al.	Institut Louis Malarde, PMIE	https://www.ncbi.nlm.nih.gov/nuccore/KM014700
KM078929	KM078929.1	KM078929	2014-03-21	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078929
KM078930	KM078930.1	KM078930	2014-04-04	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078930
KM078931	KM078931.1	KM078931	2014-05-09	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078931
KM078932	KM078932.1	KM078932	2014-02-11	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078932
KM078933	KM078933.1	KM078933	2014-02-17	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078933
KM078934	KM078934.1	KM078934	2014-03-05	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078934
KM078935	KM078935.1	KM078935	2014-03-05	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078935
KM078936	KM078936.1	KM078936	2014-03-01	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078936
KM078937	KM078937.1	KM078937	2014-03-05	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078937
KM078938	KM078938.1	KM078938	2014-03-09	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078938
KM078939	KM078939.1	KM078939	2014-03-21	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078939
KM078940	KM078940.1	KM078940	2014-03-16	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078940
KM078941	KM078941.1	KM078941	2014-03-23	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078941
KM078942	KM078942.1	KM078942	2014-03-21	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078942
KM078943	KM078943.1	KM078943	2014-04-09	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078943
KM078944	KM078944.1	KM078944	2014-03-30	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078944
KM078945	KM078945.1	KM078945	2014-03-30	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078945
KM078946	KM078946.1	KM078946	2014-04-08	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078946
KM078947	KM078947.1	KM078947	2014-04-04	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078947
KM078948	KM078948.1	KM078948	2014-04-03	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078948
KM078949	KM078949.1	KM078949	2014-04-03	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078949
KM078950	KM078950.1	KM078950	2014-04-10	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078950
KM078951	KM078951.1	KM078951	2014-04-10	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078951
KM078952	KM078952.1	KM078952	2014-04-11	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078952
KM078953	KM078953.1	KM078953	2014-04-12	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078953
KM078954	KM078954.1	KM078954	2014-04-18	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078954
KM078955	KM078955.1	KM078955	2014-04-17	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078955
KM078956	KM078956.1	KM078956	2014-04-15	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078956
KM078957	KM078957.1	KM078957	2014-04-14	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078957
KM078958	KM078958.1	KM078958	2014-04-27	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078958
KM078959	KM078959.1	KM078959	2014-04-27	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078959
KM078960	KM078960.1	KM078960	2014-04-24	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078960
KM078961	KM078961.1	KM078961	2014-04-24	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078961
KM078962	KM078962.1	KM078962	2014-04-23	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078962
KM078963	KM078963.1	KM078963	2014-05-04	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078963
KM078964	KM078964.1	KM078964	2014-04-29	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078964
KM078965	KM078965.1	KM078965	2014-04-29	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078965
KM078966	KM078966.1	KM078966	2014-04-14	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078966
KM078967	KM078967.1	KM078967	2014-04-16	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078967
KM078968	KM078968.1	KM078968	2014-04-15	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078968
KM078969	KM078969.1	KM078969	2014-04-15	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078969
KM078970	KM078970.1	KM078970	2014-04-20	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078970
KM078971	KM078971.1	KM078971	2014-04-21	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078971
KM078972	KM078972.1	KM078972	2014-05-02	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078972
KM078973	KM078973.1	KM078973	2014-04-30	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078973
KM078974	KM078974.1	KM078974	2014-05-03	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078974
KM078975	KM078975.1	KM078975	2014-04-28	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078975
KM078976	KM078976.1	KM078976	2014-05-04	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078976
KM078977	KM078977.1	KM078977	2014-05-10	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078977
KM078978	KM078978.1	KM078978	2014-05-07	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078978
KM078979	KM078979.1	KM078979	2014-05-07	South America	Chile	Easter Island		976	Homo sapiens	2015-01-17	2016-05-12		Tognarelli et al.	Instituto de Salud Publica de Chile, Biomedico	https://www.ncbi.nlm.nih.gov/nuccore/KM078979
KM212961	KM212961.1	KM212961	2014-04-17	Europe	France	New Caledonia		226	Homo sapiens	2015-01-18	2015-01-18		Calvez et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KM212961
KM212963	KM212963.1	KM212963	2014-01-23	Europe	France	New Caledonia		296	Homo sapiens	2015-01-18	2015-01-18		Calvez et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KM212963
KM212964	KM212964.1	KM212964	2014-04-17	Europe	France	New Caledonia		296	Homo sapiens	2015-01-18	2015-01-18		Calvez et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KM212964
KM212965	KM212965.1	KM212965	2013-11-20	Europe	France	New Caledonia		296	Homo sapiens	2015-01-18	2015-01-18		Calvez et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KM212965
KM212966	KM212966.1	KM212966	2013-11-26	Europe	France	New Caledonia		296	Homo sapiens	2015-01-18	2015-01-18		Calvez et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KM212966
KM212967	KM212967.1	KM212967	2013-12-11	Europe	France	New Caledonia		296	Homo sapiens	2015-01-18	2015-01-18		Calvez et al.	Institut Pasteur of New Caledonia, Dengue and Arboviruses Research and Expertise Unit	https://www.ncbi.nlm.nih.gov/nuccore/KM212967
KM851038	KM851038.1	KM851038	2012-05-09	Asia	Philippines			789	Homo sapiens	2015-05-25	2015-05-25		Alera et al.	USAMC-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KM851038
KM851039	KM851039.1	KM851039	2014-07-19	Asia	Thailand			789	Homo sapiens	2015-07-20	2015-08-18		Buathong et al.	USAMC-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KM851039
KP099609	KP099609.1	KP099609	2014-03-11	Oceania	Cook Islands			281	Homo sapiens	2015-12-03	2015-12-03		Cao-Lormeau et al.	Institut Louis Malarde, PMIE	https://www.ncbi.nlm.nih.gov/nuccore/KP099609
KP099610	KP099610.1	KP099610	2014-04-08	Oceania	Cook Islands			281	Homo sapiens	2015-12-03	2015-12-03		Cao-Lormeau et al.	Institut Louis Malarde, PMIE	https://www.ncbi.nlm.nih.gov/nuccore/KP099610
KR815989	KR815989.1	KR815989	2015-XX-XX	South America	Brazil			330	Homo sapiens	2015-06-29	2015-06-29		Zanluca et al.	Instituto Carlos Chagas - Fiocruz/PR, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KR815989
KR815990	KR815990.1	KR815990	2015-XX-XX	South America	Brazil			330	Homo sapiens	2015-06-29	2015-06-29		Zanluca et al.	Instituto Carlos Chagas - Fiocruz/PR, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KR815990
KR816333	KR816333.1	KR816333	2015-05-XX	South America	Brazil			310	Homo sapiens	2015-10-13	2015-10-13		Campos et al.	Universidade Federal da Bahia, Department of Bio-interaction	https://www.ncbi.nlm.nih.gov/nuccore/KR816333
KR816334	KR816334.1	KR816334	2015-05-XX	South America	Brazil			310	Homo sapiens	2015-10-13	2015-10-13		Campos et al.	Universidade Federal da Bahia, Department of Bio-interaction	https://www.ncbi.nlm.nih.gov/nuccore/KR816334
KR816335	KR816335.1	KR816335	2015-05-XX	South America	Brazil			309	Homo sapiens	2015-10-13	2015-10-13		Campos et al.	Universidade Federal da Bahia, Department of Bio-interaction	https://www.ncbi.nlm.nih.gov/nuccore/KR816335
KR816336	KR816336.1	KR816336	2015-05-XX	South America	Brazil			310	Homo sapiens	2015-10-13	2015-10-13		Campos et al.	Universidade Federal da Bahia, Department of Bio-interaction	https://www.ncbi.nlm.nih.gov/nuccore/KR816336
KR872956	KR872956.1	KR872956	2015-XX-XX	South America	Brazil			10727	Homo sapiens	2016-10-29	2016-10-29		Nunes et al.	Evandro Chagas Institute, Center for Technological Innovation	https://www.ncbi.nlm.nih.gov/nuccore/KR872956
KT200609	KT200609.1	KT200609	2015-XX-XX	South America	Brazil			705	Homo sapiens	2016-01-19	2016-01-19		Mendonca et al.	Fiocruz, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KT200609
KT381874	KT381874.1	KT381874	2015-XX-XX	South America	Brazil			238	Homo sapiens	2016-02-14	2016-02-14		Sequeira et al.	Oswaldo Cruz Foundation, Oswaldo Cruz Institute	https://www.ncbi.nlm.nih.gov/nuccore/KT381874
KU179098	KU179098.2	KU179098	2014-12-30	Asia	Indonesia	Jambi		10668	Homo sapiens	2016-02-19	2017-08-21		Perkasa et al.	Eijkman Institute for Molecular Biology, Dengue Unit	https://www.ncbi.nlm.nih.gov/nuccore/KU179098
KU232288	KU232288.1	KU232288	2015-05-25	South America	Brazil			665	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232288
KU232289	KU232289.1	KU232289	2015-05-25	South America	Brazil			663	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232289
KU232290	KU232290.1	KU232290	2015-05-25	South America	Brazil			688	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232290
KU232291	KU232291.1	KU232291	2015-05-25	South America	Brazil			667	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232291
KU232292	KU232292.1	KU232292	2015-05-25	South America	Brazil			682	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232292
KU232293	KU232293.1	KU232293	2015-05-25	South America	Brazil			679	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232293
KU232294	KU232294.1	KU232294	2015-05-25	South America	Brazil			679	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232294
KU232295	KU232295.1	KU232295	2015-05-25	South America	Brazil			672	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232295
KU232296	KU232296.1	KU232296	2015-05-25	South America	Brazil			676	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232296
KU232297	KU232297.1	KU232297	2015-05-25	South America	Brazil			693	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232297
KU232298	KU232298.1	KU232298	2015-05-25	South America	Brazil			678	Homo sapiens	2016-02-09	2016-02-10		Pessoa et al.	Instituto de Medicina Tropical, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KU232298
